,open,high,low,close,volume,value,Date
2023-05-14 09:00:00,36382000.0,36800000.0,36193000.0,36415000.0,1639.20833071,59726505225.95865,2023-05-14 09:00:00
2023-05-15 09:00:00,36420000.0,37200000.0,36204000.0,36632000.0,2671.26583258,98300162815.11125,2023-05-15 09:00:00
2023-05-16 09:00:00,36642000.0,36795000.0,36335000.0,36421000.0,2091.33896506,76375961495.13017,2023-05-16 09:00:00
2023-05-17 09:00:00,36419000.0,36835000.0,35938000.0,36700000.0,3207.18978344,116588369577.06467,2023-05-17 09:00:00
2023-05-18 09:00:00,36706000.0,36920000.0,35800000.0,36240000.0,3396.67093837,123989138250.60954,2023-05-18 09:00:00
2023-05-19 09:00:00,36240000.0,36486000.0,35950000.0,36156000.0,2587.51450694,93622400558.22136,2023-05-19 09:00:00
2023-05-20 09:00:00,36156000.0,36475000.0,36119000.0,36385000.0,1174.32081928,42561799025.2985,2023-05-20 09:00:00
2023-05-21 09:00:00,36404000.0,36618000.0,36048000.0,36051000.0,1573.05946887,57153092941.84137,2023-05-21 09:00:00
2023-05-22 09:00:00,36057000.0,36200000.0,35709000.0,35947000.0,2597.92192199,93326194208.90239,2023-05-22 09:00:00
2023-05-23 09:00:00,35947000.0,36660000.0,35841000.0,36381000.0,2510.27578792,91284785438.44258,2023-05-23 09:00:00
2023-05-24 09:00:00,36382000.0,36430000.0,35144000.0,35452000.0,4471.51960065,159940843941.85303,2023-05-24 09:00:00
2023-05-25 09:00:00,35465000.0,35670000.0,35000000.0,35547000.0,3394.73741865,119701229760.28255,2023-05-25 09:00:00
2023-05-26 09:00:00,35550000.0,36110000.0,35284000.0,35771000.0,2369.1616222,84409771662.48203,2023-05-26 09:00:00
2023-05-27 09:00:00,35786000.0,35900000.0,35588000.0,35824000.0,1922.45483636,68717026294.1557,2023-05-27 09:00:00
2023-05-28 09:00:00,35824000.0,37532000.0,35788000.0,37350000.0,3852.9775285,140994739814.59552,2023-05-28 09:00:00
2023-05-29 09:00:00,37360000.0,37883000.0,36802000.0,36992000.0,4032.11292852,150323403013.1309,2023-05-29 09:00:00
2023-05-30 09:00:00,36992000.0,37402000.0,36821000.0,36914000.0,3280.20536471,121696610670.50859,2023-05-30 09:00:00
2023-05-31 09:00:00,36923000.0,37043000.0,36059000.0,36391000.0,3833.61770267,139599376041.70715,2023-05-31 09:00:00
2023-06-01 09:00:00,36391000.0,36509000.0,35715000.0,35823000.0,3403.84008073,122585463047.81593,2023-06-01 09:00:00
2023-06-02 09:00:00,35823000.0,36150000.0,35470000.0,36089000.0,3129.38244663,112363149210.31906,2023-06-02 09:00:00
2023-06-03 09:00:00,36089000.0,36102000.0,35801000.0,35888000.0,1925.56556117,69221217632.57323,2023-06-03 09:00:00
2023-06-04 09:00:00,35888000.0,36146000.0,35820000.0,35865000.0,1679.79054823,60341276256.74492,2023-06-04 09:00:00
2023-06-05 09:00:00,35894000.0,35896000.0,33825000.0,34298000.0,6815.06312451,237454293743.43423,2023-06-05 09:00:00
2023-06-06 09:00:00,34299000.0,35993000.0,33580000.0,35852000.0,5402.99569145,186634047625.04358,2023-06-06 09:00:00
2023-06-07 09:00:00,35855000.0,35993000.0,34797000.0,34952000.0,4520.05491026,159664589406.57504,2023-06-07 09:00:00
2023-06-08 09:00:00,34953000.0,35416000.0,34802000.0,34996000.0,2370.31995071,83003582914.93372,2023-06-08 09:00:00
2023-06-09 09:00:00,34996000.0,35161000.0,34802000.0,34865000.0,2335.69270285,81645858994.77078,2023-06-09 09:00:00
2023-06-10 09:00:00,34865000.0,34914000.0,33842000.0,34372000.0,6040.92871542,206800529847.89606,2023-06-10 09:00:00
2023-06-11 09:00:00,34370000.0,34639000.0,34016000.0,34345000.0,1754.27310948,60157124442.83195,2023-06-11 09:00:00
2023-06-12 09:00:00,34345000.0,34480000.0,34077000.0,34171000.0,428.28672786,14691277212.76046,2023-06-12 09:00:00
